feature,or,ci_lower,ci_upper,p_value,adjusted_p_value
Accid from overexertion,0.77,0.033,17.877,0.871,0.9997897233201581
"Injury of ulnar nerve at forearm level, left arm, initial encounter",0.758,0.027,21.53,0.871,0.9997897233201581
"Duodenitis, with hemorrhage",0.9,0.249,3.247,0.872,0.9997897233201581
"Post term pregnancy, delivered, with or without mention of antepartum condition",0.716,0.012,41.489,0.872,0.9997897233201581
"Unspecified open wound of scalp, initial encounter",1.026,0.75,1.404,0.873,0.9997897233201581
Limitation of activities due to disability,0.785,0.04,15.452,0.873,0.9997897233201581
Dissection of other specified artery,1.066,0.478,2.38,0.875,0.9997897233201581
"Other complications due to other internal orthopedic device, implant, and graft",0.907,0.267,3.077,0.875,0.9997897233201581
"Varus deformity, not elsewhere classified, left ankle",0.839,0.094,7.488,0.875,0.9997897233201581
"Peroneal tendinitis, right leg",0.822,0.072,9.357,0.875,0.9997897233201581
Recurrent and persistent hematuria with unspecified morphologic changes,0.928,0.365,2.363,0.876,0.9997897233201581
"Displacement of insulin pump, initial encounter",0.812,0.059,11.198,0.876,0.9997897233201581
Malignant neoplasm of thyroid gland,1.044,0.605,1.803,0.877,0.9997897233201581
Fabry (-Anderson) disease,0.83,0.078,8.788,0.877,0.9997897233201581
Other appendicitis,0.818,0.064,10.387,0.877,0.9997897233201581
Missed abortion,0.781,0.035,17.639,0.877,0.9997897233201581
Infection and inflammatory reaction due to indwelling urinary catheter,1.037,0.653,1.645,0.879,0.9997897233201581
Apnea,0.936,0.403,2.175,0.879,0.9997897233201581
"Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb",0.783,0.033,18.521,0.879,0.9997897233201581
Tuberous sclerosis,0.781,0.033,18.661,0.879,0.9997897233201581
"Traumatic hemopneumothorax, initial encounter",1.059,0.5,2.243,0.88,0.9997897233201581
"Other diseases of pharynx, not elsewhere classified",0.87,0.142,5.33,0.88,0.9997897233201581
Other specified degenerative diseases of basal ganglia,0.945,0.449,1.988,0.881,0.9997897233201581
Other venous embolism and thrombosis of unspecified site,0.905,0.245,3.348,0.881,0.9997897233201581
"Hallux valgus (acquired), left foot",0.85,0.102,7.112,0.881,0.9997897233201581
"Other mechanical complication of intraperitoneal dialysis catheter, initial encounter",0.842,0.088,8.006,0.881,0.9997897233201581
"Neurogenic arthritis, not elsewhere classified",0.839,0.084,8.42,0.881,0.9997897233201581
"Spinal instabilities, thoracolumbar region",0.837,0.08,8.712,0.881,0.9997897233201581
Enthesopathy of unspecified site,0.837,0.081,8.597,0.881,0.9997897233201581
Infection with microorganisms with resistance to multiple drugs,1.092,0.344,3.459,0.882,0.9997897233201581
Nephrotic syndrome in diseases classified elsewhere,0.865,0.127,5.887,0.882,0.9997897233201581
"Other mechanical complication of internal left knee prosthesis, initial encounter",0.847,0.094,7.631,0.882,0.9997897233201581
Human papillomavirus in conditions classified elsewhere and of unspecified site,0.77,0.024,24.58,0.882,0.9997897233201581
"Fracture of orbital floor, right side, initial encounter for closed fracture",0.755,0.019,30.596,0.882,0.9997897233201581
Other hyperalimentation,0.862,0.119,6.256,0.883,0.9997897233201581
"Alcohol use complicating pregnancy, first trimester",0.751,0.016,34.241,0.883,0.9997897233201581
"Aural vertigo, left ear",0.843,0.086,8.301,0.884,0.9997897233201581
"Other nondisplaced fracture of lower end of right humerus, initial encounter for closed fracture",1.156,0.161,8.27,0.885,0.9997897233201581
Methicillin susceptible pneumonia due to Staphylococcus aureus,1.032,0.67,1.59,0.885,0.9997897233201581
"Central cord syndrome at C4 level of cervical spinal cord, initial encounter",0.884,0.168,4.654,0.885,0.9997897233201581
Prolapse of vaginal vault after hysterectomy,0.848,0.092,7.83,0.885,0.9997897233201581
Other specified diseases of pericardium,1.059,0.482,2.325,0.886,0.9997897233201581
"Epilepsy, unspecified, with intractable epilepsy",0.923,0.306,2.784,0.886,0.9997897233201581
"Other contact with raccoon, initial encounter",0.839,0.077,9.104,0.886,0.9997897233201581
"Fracture of angle of mandible, initial encounter for closed fracture",0.804,0.04,15.989,0.886,0.9997897233201581
"Injury of median nerve at wrist and hand level of right arm, initial encounter",0.798,0.036,17.544,0.886,0.9997897233201581
"Laceration without foreign body of left thumb without damage to nail, sequela",0.776,0.025,24.406,0.886,0.9997897233201581
"Anemia complicating pregnancy, second trimester",0.73,0.01,54.905,0.886,0.9997897233201581
Disorders of copper metabolism,0.855,0.098,7.429,0.887,0.9997897233201581
"Mental disorders of mother, antepartum condition or complication",0.814,0.048,13.725,0.887,0.9997897233201581
Food additives allergy status,0.814,0.047,14.255,0.888,0.9997897233201581
Nonobstructive reflux-associated chronic pyelonephritis,0.803,0.038,16.925,0.888,0.9997897233201581
"Unspecified open wound, left foot, initial encounter",0.878,0.142,5.424,0.889,0.9997897233201581
Mastodynia,0.842,0.074,9.519,0.889,0.9997897233201581
Other intraoperative cardiac functional disturbances during other surgery,0.984,0.78,1.24,0.89,0.9997897233201581
Dissection of carotid artery,0.942,0.405,2.19,0.89,0.9997897233201581
Scar conditions and fibrosis of skin,0.895,0.186,4.313,0.89,0.9997897233201581
"Contracture of joint, hand",0.868,0.119,6.361,0.89,0.9997897233201581
"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",0.846,0.08,9.003,0.89,0.9997897233201581
Celiac disease,1.032,0.66,1.614,0.891,0.9997897233201581
Secondary neuroendocrine tumor of bone,0.831,0.059,11.685,0.891,0.9997897233201581
"Leukorrhea, not specified as infective",0.795,0.03,20.944,0.891,0.9997897233201581
"Maxillary fracture, right side, initial encounter for closed fracture",0.754,0.013,43.062,0.891,0.9997897233201581
Mixed hyperlipidemia,1.052,0.504,2.196,0.892,0.9997897233201581
Other lacunar syndromes,1.042,0.578,1.879,0.892,0.9997897233201581
Undifferentiated somatoform disorder,0.883,0.147,5.309,0.892,0.9997897233201581
Social exclusion and rejection,0.828,0.055,12.555,0.892,0.9997897233201581
Anomalies of intestinal fixation,0.812,0.04,16.518,0.892,0.9997897233201581
Other immediate postpartum hemorrhage,0.708,0.005,101.289,0.892,0.9997897233201581
Unspecified viral hepatitis C with hepatic coma,0.958,0.516,1.781,0.893,0.9997897233201581
"Twin pregnancy, dichorionic/diamniotic, first trimester",0.776,0.019,31.366,0.893,0.9997897233201581
Unspecified mononeuropathy of right upper limb,0.925,0.295,2.902,0.894,0.9997897233201581
"Polyarthritis, unspecified",0.847,0.074,9.693,0.894,0.9997897233201581
"Acute alcoholic intoxication in alcoholism, episodic",0.842,0.068,10.495,0.894,0.9997897233201581
"Other complications of puerperium, postpartum condition or complication",0.836,0.059,11.798,0.894,0.9997897233201581
"Vitamin D deficiency, unspecified",1.014,0.827,1.243,0.895,0.9997897233201581
"Low weight gain in pregnancy, first trimester",0.789,0.024,26.407,0.895,0.9997897233201581
Polymyositis with other organ involvement,1.078,0.347,3.355,0.896,0.9997897233201581
"Sleep disorder, unspecified",0.929,0.308,2.802,0.896,0.9997897233201581
"Motorcycle rider (driver) (passenger) injured in unspecified traffic accident, initial encounter",0.849,0.07,10.257,0.897,0.9997897233201581
Other headache syndrome,0.813,0.036,18.428,0.897,0.9997897233201581
Encounter for screening for malignant neoplasm of colon,0.855,0.078,9.427,0.898,0.9997897233201581
Poisoning by salicylates,0.832,0.05,13.828,0.898,0.9997897233201581
"Unspecified B-cell lymphoma, lymph nodes of inguinal region and lower limb",1.128,0.176,7.245,0.899,0.9997897233201581
Other symptoms involving urinary system,1.077,0.344,3.371,0.899,0.9997897233201581
Family history of malignant neoplasm of other genital organs,1.064,0.408,2.77,0.899,0.9997897233201581
Other urticaria,0.847,0.066,10.894,0.899,0.9997897233201581
Hypermobility of urethra,0.84,0.056,12.535,0.899,0.9997897233201581
Hordeolum externum right lower eyelid,0.814,0.034,19.297,0.899,0.9997897233201581
"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consciousness",1.094,0.268,4.468,0.9,0.9997897233201581
"Moderate or severe impairment, better eye, impairment level not further specified",0.791,0.02,31.061,0.9,0.9997897233201581
"Osteoarthrosis, unspecified whether generalized or localized, other specified sites",0.937,0.338,2.597,0.901,0.9997897233201581
Non-pressure chronic ulcer of other part of left foot with other specified severity,0.876,0.109,7.048,0.901,0.9997897233201581
"Ankylosis, right knee",0.859,0.079,9.294,0.901,0.9997897233201581
"Unspecified fracture of upper end of right tibia, subsequent encounter for closed fracture with malunion",0.856,0.074,9.904,0.901,0.9997897233201581
"Functional intestinal disorder, unspecified",0.799,0.024,27.178,0.901,0.9997897233201581
Non-pressure chronic ulcer of right heel and midfoot with necrosis of muscle,0.982,0.738,1.308,0.902,0.9997897233201581
"Other specified disorders of middle ear and mastoid, bilateral",0.866,0.087,8.651,0.902,0.9997897233201581
"Laceration with foreign body of right hand, initial encounter",0.839,0.051,13.707,0.902,0.9997897233201581
Inflammatory polyarthropathy,0.901,0.169,4.822,0.903,0.9997897233201581
Bilious emesis,0.856,0.071,10.318,0.903,0.9997897233201581
"Displaced transverse fracture of shaft of right radius, initial encounter for closed fracture",0.843,0.053,13.442,0.903,0.9997897233201581
"Poisoning by lysergide [LSD], accidental (unintentional), initial encounter",0.813,0.029,22.791,0.903,0.9997897233201581
Multifocal and unisystemic Langerhans-cell histiocytosis,0.808,0.026,25.373,0.903,0.9997897233201581
"Pressure ulcer of contiguous site of back, buttock and hip, unspecified stage",0.988,0.814,1.2,0.904,0.9997897233201581
Spina bifida occulta,0.862,0.077,9.627,0.904,0.9997897233201581
"Cannabis dependence, continuous",0.856,0.07,10.533,0.904,0.9997897233201581
"Uterovaginal prolapse, incomplete",0.866,0.081,9.23,0.905,0.9997897233201581
"Thyroid dysfunction of mother, antepartum condition or complication",0.826,0.036,18.999,0.905,0.9997897233201581
Suicide and self-inflicted poisoning by other sedatives and hypnotics,0.75,0.007,85.038,0.905,0.9997897233201581
Other congenital deformity of hip (joint),0.874,0.093,8.188,0.906,0.9997897233201581
Other ovarian hyperfunction,0.868,0.083,9.042,0.906,0.9997897233201581
"Prepatellar bursitis, unspecified knee",0.866,0.079,9.487,0.906,0.9997897233201581
Personal history of malignant neoplasm of other urinary organs,1.078,0.304,3.819,0.907,0.9997897233201581
"Bicipital tendinitis, right shoulder",0.892,0.132,6.04,0.907,0.9997897233201581
"Chronic migraine without aura, without mention of intractable migraine without mention of status migrainosus",0.869,0.083,9.051,0.907,0.9997897233201581
Dual sensory impairment,0.89,0.122,6.464,0.908,0.9997897233201581
"Dysplasia of vulva, unspecified",0.812,0.024,27.758,0.908,0.9997897233201581
Other specified disorders of arteries and arterioles,0.934,0.29,3.005,0.909,0.9997897233201581
"Anemia of mother, antepartum condition or complication",0.845,0.047,15.267,0.909,0.9997897233201581
"Abdominal or pelvic swelling, mass, or lump, unspecified site",1.063,0.364,3.103,0.91,0.9997897233201581
Secondary malignant neoplasm of small intestine including duodenum,1.026,0.655,1.607,0.91,0.9997897233201581
Other and unspecified infection due to central venous catheter,1.024,0.683,1.535,0.91,0.9997897233201581
"Epilepsia partialis continua, without mention of intractable epilepsy",0.915,0.197,4.254,0.91,0.9997897233201581
"Complex tear of medial meniscus, current injury, right knee, initial encounter",0.886,0.107,7.342,0.91,0.9997897233201581
Elevated erythrocyte sedimentation rate,0.865,0.071,10.611,0.91,0.9997897233201581
"Chondromalacia patellae, unspecified knee",0.853,0.054,13.429,0.91,0.9997897233201581
Other cerebral palsy,0.841,0.041,17.281,0.91,0.9997897233201581
Suicide and self-inflicted poisoning by tranquilizers and other psychotropic agents,0.901,0.147,5.543,0.911,0.9997897233201581
"Displaced fracture of medial malleolus of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",0.859,0.059,12.447,0.911,0.9997897233201581
Mixed irritable bowel syndrome,0.855,0.056,13.122,0.911,0.9997897233201581
"Unspecified open wound of unspecified buttock, initial encounter",0.853,0.054,13.595,0.911,0.9997897233201581
Cystic fibrosis carrier,0.849,0.049,14.65,0.911,0.9997897233201581
"Other shoulder lesions, unspecified shoulder",0.867,0.068,10.982,0.912,0.9997897233201581
"Cystic fibrosis, unspecified",0.868,0.069,10.961,0.913,0.9997897233201581
"Unspecified drug dependence, continuous",0.854,0.051,14.376,0.913,0.9997897233201581
Radial styloid tenosynovitis,0.854,0.05,14.65,0.914,0.9997897233201581
"Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], accidental (unintentional), initial encounter",0.854,0.049,14.888,0.914,0.9997897233201581
Priapism due to trauma,0.796,0.013,49.407,0.914,0.9997897233201581
Extramedullary plasmacytoma not having achieved remission,0.924,0.217,3.929,0.915,0.9997897233201581
Pyogenic granuloma,0.879,0.082,9.411,0.915,0.9997897233201581
Benign neoplasm of unspecified breast,0.865,0.061,12.223,0.915,0.9997897233201581
Family history of allergic disorders,0.857,0.05,14.698,0.915,0.9997897233201581
Hereditary spastic paraplegia,1.093,0.211,5.662,0.916,0.9997897233201581
"Impacted cerumen, bilateral",1.052,0.41,2.701,0.916,0.9997897233201581
"Bipolar disorder, current episode mixed, unspecified",0.872,0.068,11.106,0.916,0.9997897233201581
"Cannabis dependence, in remission",0.813,0.017,38.343,0.916,0.9997897233201581
Personal history of nutritional deficiency,0.795,0.011,55.288,0.916,0.9997897233201581
"Chronic lymphoid leukemia, in remission",1.059,0.361,3.112,0.917,0.9997897233201581
Secondary malignant neoplasm of other specified sites,1.011,0.818,1.25,0.917,0.9997897233201581
Encounter for change or removal of drains,0.871,0.066,11.509,0.917,0.9997897233201581
"Contact with powered garden and outdoor hand tools and machinery, initial encounter",0.861,0.051,14.512,0.917,0.9997897233201581
"Laceration of intrinsic muscle, fascia and tendon of right thumb at wrist and hand level, initial encounter",1.131,0.109,11.686,0.918,0.9997897233201581
Abnormal weight gain,1.089,0.215,5.521,0.918,0.9997897233201581
Pseudohypoparathyroidism,0.972,0.569,1.663,0.918,0.9997897233201581
"Allergic arthritis, site unspecified",0.881,0.077,10.027,0.918,0.9997897233201581
Unspecified papilledema,0.868,0.059,12.691,0.918,0.9997897233201581
Homocystinuria,0.921,0.189,4.494,0.919,0.9997897233201581
"Contusion of right foot, initial encounter",0.9,0.119,6.799,0.919,0.9997897233201581
Abnormal electroencephalogram [EEG],0.864,0.052,14.336,0.919,0.9997897233201581
Endometriosis of ovary,0.855,0.042,17.338,0.919,0.9997897233201581
"Other injury of spleen, initial encounter",1.086,0.22,5.369,0.92,0.9997897233201581
"Labyrinthitis, bilateral",0.88,0.073,10.561,0.92,0.9997897233201581
Diseases of the circulatory system complicating the puerperium,0.808,0.013,51.986,0.92,0.9997897233201581
"Pulmonary eosinophilia, not elsewhere classified",1.049,0.408,2.7,0.921,0.9997897233201581
Other malaise,1.009,0.842,1.21,0.921,0.9997897233201581
"Stenosis of peripheral vascular stent, initial encounter",0.883,0.075,10.345,0.921,0.9997897233201581
Family history of other chronic respiratory conditions,0.879,0.069,11.262,0.921,0.9997897233201581
Rectal polyp,0.954,0.371,2.45,0.922,0.9997897233201581
Localized scleroderma [morphea],0.925,0.196,4.372,0.922,0.9997897233201581
"Other lesions of median nerve, right upper limb",0.873,0.058,13.121,0.922,0.9997897233201581
Secondary carcinoid tumors of peritoneum,0.843,0.027,25.878,0.922,0.9997897233201581
Encounter for breast reconstruction following mastectomy,0.879,0.065,11.928,0.923,0.9997897233201581
"Open wound of finger(s), with tendon involvement",0.868,0.049,15.364,0.923,0.9997897233201581
Primary dysmenorrhea,0.863,0.043,17.192,0.923,0.9997897233201581
"Lipodystrophy, not elsewhere classified",0.876,0.057,13.362,0.924,0.9997897233201581
Mild hyperemesis gravidarum,0.872,0.051,14.764,0.924,0.9997897233201581
"Intentional self-harm by other specified means, sequela",0.864,0.043,17.476,0.924,0.9997897233201581
"Fracture of unspecified part of scapula, unspecified shoulder, initial encounter for closed fracture",0.958,0.391,2.346,0.925,0.9997897233201581
"Inflammatory disease of uterus, unspecified",0.862,0.04,18.638,0.925,0.9997897233201581
Accidents caused by woodworking and forming machines,0.859,0.037,19.727,0.925,0.9997897233201581
Other health problems within the family,0.88,0.059,13.084,0.926,0.9997897233201581
"Other cyst of bone, right ankle and foot",1.109,0.12,10.281,0.927,0.9997897233201581
Other specified noninfective disorders of lymphatic vessels and lymph nodes,0.964,0.437,2.127,0.927,0.9997897233201581
"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, second trimester",0.81,0.009,73.484,0.927,0.9997897233201581
"Chorioamnionitis, second trimester, fetus 2",0.745,0.001,410.157,0.927,0.9997897233201581
Nonspecific abnormal results of other specified function study,0.881,0.058,13.467,0.928,0.9997897233201581
Malformations of aqueduct of Sylvius,0.874,0.046,16.578,0.928,0.9997897233201581
"Infection following a procedure, superficial incisional surgical site, initial encounter",1.089,0.166,7.134,0.929,0.9997897233201581
Elevated C-reactive protein (CRP),0.889,0.066,11.963,0.929,0.9997897233201581
Other transplanted organ and tissue status,0.886,0.061,12.766,0.929,0.9997897233201581
"Zygomatic fracture, left side, initial encounter for closed fracture",0.881,0.055,14.154,0.929,0.9997897233201581
"Kaposi's sarcoma, unspecified",0.87,0.041,18.495,0.929,0.9997897233201581
"Poisoning by barbiturates, undetermined, initial encounter",0.822,0.011,62.383,0.929,0.9997897233201581
Other complications of intestinal pouch,0.885,0.058,13.48,0.93,0.9997897233201581
"Other non-follicular lymphoma, lymph nodes of head, face, and neck",0.883,0.056,13.964,0.93,0.9997897233201581
"Overexertion from prolonged static or awkward postures, initial encounter",0.883,0.056,13.913,0.93,0.9997897233201581
Follicular cyst of left ovary,0.866,0.035,21.195,0.93,0.9997897233201581
Vomiting following gastrointestinal surgery,1.136,0.064,20.129,0.931,0.9997897233201581
Malignant neoplasm of vertebral column,0.89,0.064,12.389,0.931,0.9997897233201581
"Sprain of unspecified parts of thorax, initial encounter",0.883,0.053,14.606,0.931,0.9997897233201581
"Transient hypertension of pregnancy, antepartum condition or complication",0.874,0.042,18.071,0.931,0.9997897233201581
"Wife, perpetrator of maltreatment and neglect",0.88,0.046,16.917,0.932,0.9997897233201581
Complex regional pain syndrome I of unspecified lower limb,1.11,0.099,12.479,0.933,0.9997897233201581
"Enlarged lymph nodes, unspecified",0.987,0.728,1.338,0.933,0.9997897233201581
Left sided colitis with rectal bleeding,0.888,0.055,14.25,0.933,0.9997897233201581
Familial Mediterranean fever,0.886,0.052,15.087,0.933,0.9997897233201581
Need for assistance with personal care,0.88,0.044,17.731,0.933,0.9997897233201581
Accidental poisoning by antidepressants,0.865,0.029,25.428,0.933,0.9997897233201581
"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication",0.859,0.026,28.915,0.933,0.9997897233201581
"Other viral diseases complicating pregnancy, second trimester",0.835,0.012,56.059,0.933,0.9997897233201581
"Supervision of elderly primigravida, second trimester",0.831,0.011,60.459,0.933,0.9997897233201581
"Hallucinogen abuse, unspecified",0.821,0.008,84.205,0.933,0.9997897233201581
Acquired absence of both cervix and uterus,0.988,0.746,1.309,0.934,0.9997897233201581
Endometriosis of pelvic peritoneum,0.874,0.036,20.993,0.934,0.9997897233201581
Personal history of other diseases of the nervous system and sense organs,0.89,0.053,14.843,0.935,0.9997897233201581
Reactive attachment disorder of childhood,0.854,0.019,37.858,0.935,0.9997897233201581
"Cellulitis of head [any part, except face]",1.052,0.307,3.609,0.936,0.9997897233201581
"Adolescent idiopathic scoliosis, thoracic region",1.018,0.663,1.562,0.936,0.9997897233201581
"Superior glenoid labrum lesion of unspecified shoulder, initial encounter",0.891,0.054,14.76,0.936,0.9997897233201581
Personal history of other mental and behavioral disorders,0.889,0.052,15.329,0.936,0.9997897233201581
Other benign neoplasm of skin of trunk,0.886,0.046,16.958,0.936,0.9997897233201581
"Twin gestation, dichorionic/diamniotic (two placentae, two amniotic sacs)",0.845,0.014,52.333,0.936,0.9997897233201581
"Secondary uterine inertia, delivered, with or without mention of antepartum condition",0.761,0.001,602.416,0.936,0.9997897233201581
Septicemia due to anaerobes,1.027,0.533,1.979,0.937,0.9997897233201581
"Malignant neoplasm of pancreas, part unspecified",1.014,0.723,1.422,0.937,0.9997897233201581
"Laceration with foreign body, left foot, initial encounter",0.896,0.06,13.344,0.937,0.9997897233201581
Acute inflammatory disease of uterus,0.881,0.039,20.057,0.937,0.9997897233201581
Disorders of right acoustic nerve,0.886,0.043,18.45,0.938,0.9997897233201581
Acute hepatitis C without hepatic coma,1.069,0.198,5.777,0.939,0.9997897233201581
Malignant melanoma of unspecified part of face,0.94,0.194,4.547,0.939,0.9997897233201581
Dissociative identity disorder,0.872,0.026,29.504,0.939,0.9997897233201581
"Incisional hernia with obstruction, without gangrene",0.973,0.474,1.999,0.94,0.9997897233201581
"Other bursal cyst, right ankle and foot",0.896,0.05,16.172,0.94,0.9997897233201581
"Gestational diabetes mellitus in pregnancy, unspecified control",0.84,0.009,79.978,0.94,0.9997897233201581
"Bipolar disorder, current episode depressed, severe, without psychotic features",0.898,0.052,15.392,0.941,0.9997897233201581
"Unilateral post-traumatic osteoarthritis, right knee",0.895,0.047,17.227,0.941,0.9997897233201581
"Other intervertebral disc degeneration, thoracolumbar region",0.89,0.041,19.287,0.941,0.9997897233201581
"Other complications of obstetrical surgical wounds, delivered, with mention of postpartum complication",0.817,0.004,172.487,0.941,0.9997897233201581
"Intentional self-harm by other sharp object, subsequent encounter",0.929,0.126,6.865,0.942,0.9997897233201581
"Bacterial foodborne intoxication, unspecified",0.898,0.049,16.607,0.942,0.9997897233201581
Ulcerative (chronic) enterocolitis,0.896,0.047,17.074,0.942,0.9997897233201581
"Poisoning by unspecified drugs, medicaments and biological substances, undetermined, initial encounter",0.886,0.035,22.665,0.942,0.9997897233201581
Chronic embolism and thrombosis of left subclavian vein,0.934,0.147,5.929,0.943,0.9997897233201581
Benign lipomatous neoplasm of spermatic cord,0.905,0.058,14.045,0.943,0.9997897233201581
Changes in skin texture,0.877,0.024,31.839,0.943,0.9997897233201581
"Perpetrator of child and adult abuse, by father, stepfather, or boyfriend",0.833,0.005,127.083,0.943,0.9997897233201581
Renal and perinephric abscess,0.934,0.14,6.229,0.944,0.9997897233201581
"Monteggia's fracture of right ulna, initial encounter for closed fracture",0.899,0.047,17.033,0.944,0.9997897233201581
"Infection following a procedure, unspecified, initial encounter",0.866,0.016,45.905,0.944,0.9997897233201581
Family history of other endocrine and metabolic diseases,0.834,0.005,139.058,0.944,0.9997897233201581
"Contusion of left hand, initial encounter",1.044,0.304,3.58,0.945,0.9997897233201581
"Poisoning by other synthetic narcotics, intentional self-harm, initial encounter",1.043,0.312,3.488,0.945,0.9997897233201581
"Abscess of tendon sheath, right ankle and foot",0.902,0.048,17.05,0.945,0.9997897233201581
Infection of bladder following delivery,0.879,0.023,33.969,0.945,0.9997897233201581
Accidental poisoning by other specified tranquilizers,0.876,0.021,37.122,0.945,0.9997897233201581
Other plastic surgery for unacceptable cosmetic appearance,0.903,0.046,17.768,0.946,0.9997897233201581
"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, second trimester",0.829,0.004,191.136,0.946,0.9997897233201581
Accidental poisoning by psychostimulants,0.815,0.002,291.698,0.946,0.9997897233201581
"Elderly primigravida, antepartum condition or complication",0.89,0.029,27.168,0.947,0.9997897233201581
"Abnormal glucose tolerance of mother, antepartum condition or complication",0.876,0.018,43.464,0.947,0.9997897233201581
"Displacement of nephrostomy catheter, initial encounter",1.089,0.083,14.265,0.948,0.9997897233201581
Personal history of other diseases of the female genital tract,0.901,0.038,21.438,0.948,0.9997897233201581
Unspecified persistent mental disorders due to conditions classified elsewhere,1.02,0.558,1.863,0.949,0.9997897233201581
Chronic and other pulmonary manifestations due to radiation,0.958,0.26,3.526,0.949,0.9997897233201581
Moderate intellectual disabilities,0.942,0.147,6.048,0.949,0.9997897233201581
"Stiffness of left knee, not elsewhere classified",0.903,0.04,20.363,0.949,0.9997897233201581
"Twin pregnancy, antepartum condition or complication",0.883,0.02,39.106,0.949,0.9997897233201581
Sterilization,0.868,0.011,68.747,0.949,0.9997897233201581
"Poisoning by selective serotonin reuptake inhibitors, undetermined, initial encounter",0.862,0.009,82.809,0.949,0.9997897233201581
"Pressure ulcer, stage IV",1.015,0.64,1.61,0.95,0.9997897233201581
"Other cardiovascular diseases of mother, antepartum condition or complication",0.876,0.015,52.581,0.95,0.9997897233201581
Phimosis,1.028,0.428,2.469,0.951,0.9997897233201581
Natural blood and blood products causing adverse effects in therapeutic use,0.96,0.26,3.547,0.951,0.9997897233201581
"Endocrine disorder, unspecified",0.914,0.052,16.152,0.951,0.9997897233201581
"Dissociative and conversion disorder, unspecified",0.909,0.043,19.281,0.951,0.9997897233201581
"Injury of radial nerve at upper arm level, right arm, initial encounter",0.903,0.034,23.862,0.951,0.9997897233201581
Activities involving bike riding,0.889,0.021,38.276,0.951,0.9997897233201581
"Pregnant state, incidental",1.077,0.096,12.145,0.952,0.9997897233201581
"Other and unspecified alcohol dependence, episodic",1.041,0.282,3.845,0.952,0.9997897233201581
"Cervical shortening, antepartum condition or complication",0.904,0.033,24.5,0.952,0.9997897233201581
Civilian activity done for income or pay,1.083,0.075,15.558,0.953,0.9997897233201581
"Subluxation of left ankle joint, initial encounter",0.91,0.038,21.494,0.953,0.9997897233201581
Family history of anemia,0.903,0.031,26.431,0.953,0.9997897233201581
"Malignant neoplasm of right testis, unspecified whether descended or undescended",1.077,0.087,13.404,0.954,0.9997897233201581
"Overexertion from strenuous movement or load, initial encounter",0.912,0.041,20.089,0.954,0.9997897233201581
Bilateral osteoarthritis resulting from hip dysplasia,0.907,0.033,25.123,0.954,0.9997897233201581
"Displaced intertrochanteric fracture of left femur, sequela",0.922,0.055,15.495,0.955,0.9997897233201581
"Fall on same level from collision, pushing, or shoving, by or with other person in sports",0.916,0.045,18.465,0.955,0.9997897233201581
Keloid scar,0.911,0.036,22.84,0.955,0.9997897233201581
"Other threatened labor, antepartum condition or complication",0.911,0.033,24.93,0.956,0.9997897233201581
"Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition",0.865,0.005,150.35,0.956,0.9997897233201581
Postpartum coagulation defects,0.807,0.0,1690.93,0.956,0.9997897233201581
Other hypertrophic cardiomyopathy,1.018,0.535,1.938,0.957,0.9997897233201581
"Effusion, right knee",0.982,0.513,1.881,0.957,0.9997897233201581
"Previous cesarean delivery, antepartum condition or complication",0.903,0.022,37.848,0.957,0.9997897233201581
"Obesity complicating pregnancy, second trimester",0.873,0.006,125.176,0.957,0.9997897233201581
"Strain of other specified muscles and tendons at ankle and foot level, left foot, initial encounter",0.935,0.076,11.485,0.958,0.9997897233201581
Other specified noninflammatory disorders of vagina,0.907,0.023,35.596,0.958,0.9997897233201581
"Infections of genitourinary tract in pregnancy, antepartum condition or complication",0.893,0.013,61.009,0.958,0.9997897233201581
"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",0.913,0.029,28.903,0.959,0.9997897233201581
"Unequal limb length (acquired), unspecified site",0.935,0.066,13.317,0.96,0.9997897233201581
Felon,0.923,0.042,20.292,0.96,0.9997897233201581
Eclampsia complicating the puerperium,0.921,0.036,23.64,0.96,0.9997897233201581
Meningitis in other bacterial diseases classified elsewhere,0.912,0.025,33.477,0.96,0.9997897233201581
"Crushing injury of left thumb, initial encounter",0.911,0.024,34.408,0.96,0.9997897233201581
Incomplete spontaneous abortion without complication,0.9,0.015,55.585,0.96,0.9997897233201581
"Injury of digital nerve of right ring finger, initial encounter",0.895,0.012,66.627,0.96,0.9997897233201581
Other specified complications of labor and delivery,0.81,0.0,2861.598,0.96,0.9997897233201581
Empyema without mention of fistula,1.011,0.655,1.56,0.961,0.9997897233201581
"War operations involving other explosions and fragments, military personnel, sequela",0.928,0.047,18.153,0.961,0.9997897233201581
"Thyroiditis, unspecified",0.926,0.043,20.157,0.961,0.9997897233201581
